id;display_name;category
IT-71;Coquille nature 120gr;VIENNOISERIE
IT-59;Coquille raisins 120gr;VIENNOISERIE
IT-41;Coquille chocolat 120gr;VIENNOISERIE
IT-46;Brioche au sucre 500gr;VIENNOISERIE
IT-57;Brioche au sucre 250 gr;VIENNOISERIE
IT-51;Briochette au sucre 80gr;VIENNOISERIE
IT-66;Coquille au sucre 500gr;VIENNOISERIE
IT-64;Coquille au sucre 250gr;VIENNOISERIE
IT-53;Coquille au sucre 120gr;VIENNOISERIE
IT-20;Congolais sans ble;PATISSERIE
IT-27;Cookie chocolat;PATISSERIE
IT-21;Brownie;PATISSERIE
IT-68;Galette frangipane 4 parts;PATISSERIE
IT-67;Galette frangipane 6 parts;PATISSERIE
IT-72;Galette frangipane 8 parts;PATISSERIE
IT-70;Galette pomme 4 parts;PATISSERIE
IT-75;Galette pomme 6 parts;PATISSERIE
IT-77;Galette pomme 8 parts;PATISSERIE
IT-15;Paysan 65 500gr;BOULANGERIE
IT-4;Paysan 65 1kg ptinor;BOULANGERIE
IT-3;Paysan 110 500gr;BOULANGERIE
IT-54;Baguette 6 graines;BOULANGERIE
IT-11;Baguette t65;BOULANGERIE
IT-24;Tournesol t80;BOULANGERIE
IT-29;Campagne 80 500gr;BOULANGERIE
IT-25;T 80 sesame 500gr;BOULANGERIE
IT-14;T 80 pavot 500gr;BOULANGERIE
IT-28;Complet 110 500gr;BOULANGERIE
IT-19;Kg complet 110;BOULANGERIE
IT-13;Complet 110 500gr sans sel;BOULANGERIE
IT-36;T 80 noix 500g;BOULANGERIE
IT-47;T 80 lin 500gr;BOULANGERIE
IT-23;Integral 150 500gr;BOULANGERIE
IT-33;Kg integral 150;BOULANGERIE
IT-18;Epeautre 500gr;BOULANGERIE
IT-45;Seigle 500gr;BOULANGERIE
IT-8;Ptinor 5 cerales 500gr;BOULANGERIE
IT-30;Kamut 400gr;BOULANGERIE
IT-12;Petit epeautre 400gr;BOULANGERIE
IT-39;Petit epeautre sans sel 400g;BOULANGERIE
IT-2;Norvegien 650gr;BOULANGERIE
IT-31;Sans froment 500gr;BOULANGERIE
IT-0;Pain de mie 500gr;BOULANGERIE
IT-7;Couronne t80 2.5kg;BOULANGERIE
IT-10;Pain aux fruits secs 400gr;BOULANGERIE
IT-22;Pain aux figues 500gr;BOULANGERIE
IT-34;Pave paysan 110 2kg;BOULANGERIE
IT-32;Pave de seigle 2.5kg;BOULANGERIE
IT-9;Pain sans ble 500gr aux graine;BOULANGERIE
IT-44;Buns burger 100gr;BOULANGERIE
IT-1;Faluche 120gr;BOULANGERIE
IT-49;Brioche nature 500gr;VIENNOISERIE
IT-58;Brioche raisins 500gr;VIENNOISERIE
IT-16;Brioche chocolat 500gr;VIENNOISERIE
IT-48;Brioche nature 250gr;VIENNOISERIE
IT-37;Brioche raisins 250gr;VIENNOISERIE
IT-35;Brioche chocolat 250gr;VIENNOISERIE
IT-43;Briochette nature 80gr;VIENNOISERIE
IT-52;Briochette raisins 80gr;VIENNOISERIE
IT-42;Briochette chocolat 80gr;VIENNOISERIE
IT-40;Croissant 60gr;VIENNOISERIE
IT-62;Coquille nature 500gr;VIENNOISERIE
IT-65;Coquille raisin 500gr;VIENNOISERIE
IT-17;Coquille chocolat 500gr;VIENNOISERIE
IT-69;Coquille nature 250gr;VIENNOISERIE
IT-60;Coquille raisins 250gr;VIENNOISERIE
IT-56;Coquille chocolat 250gr;VIENNOISERIE
IT-26;6 graines 500gr;BOULANGERIE
IT-63;Ciabatta;BOULANGERIE
IT-81;Brioche suisse raisins;VIENNOISERIE
IT-6;Pain sans ble 500gr;BOULANGERIE
IT-83;Norvegien coupe;BOULANGERIE
IT-73;Coupe pain;BOULANGERIE
IT-55;Tarte au sucre;PATISSERIE
IT-50;Financier;PATISSERIE
IT-76;Galette parfum annuel 4 parts;PATISSERIE
IT-82;Galette parfum annuel 6 parts;PATISSERIE
IT-74;Galette parfum annuel 8 parts;PATISSERIE
IT-79;Torsade chocolat;VIENNOISERIE
IT-78;Pavé 6 graines;BOULANGERIE
IT-80;Carré aux pommes;VIENNOISERIE
IT-61;Palet de dame;PATISSERIE
IT-5;Kg campagne 80;BOULANGERIE
IT-38;Pain choco 75gr;VIENNOISERIE
IT-90;Tartelette amandine poire;PATISSERIE
IT-95;Gaufres vanille x5;PATISSERIE
IT-84;Cake petit epeautre noisette coupe;PATISSERIE
IT-91;Tartelette chocolat;PATISSERIE
IT-89;Eclair chocolat;PATISSERIE
IT-88;Eclair cafe;PATISSERIE
IT-93;Merveilleux;PATISSERIE
IT-98;Pudding;PATISSERIE
IT-86;Fondant chocolat sans gluten og;PATISSERIE
IT-94;Pain de la veille;BOULANGERIE
IT-96;Gaufres mascobado x5;PATISSERIE
IT-85;Cake petit epeautre noisettes;PATISSERIE
IT-87;Muffin choco fruits sans gluten og;PATISSERIE
IT-92;Tartelette citron meringuée;PATISSERIE
IT-97;Gaufres speculoos x5;PATISSERIE
